Geography,FIPS,Estimate (Total consumer expenditures per household ),MoE (Total consumer expenditures per household )
"Census Tract 212.19, Georgia",13089021219,197610.5,
"Census Tract 212.20, Georgia",13089021220,169619.96,
"Census Tract 212.21, Georgia",13089021221,132991.18,
"Census Tract 212.22, Georgia",13089021222,117062.67,
"Census Tract 212.23, Georgia",13089021223,135056.04,
"Census Tract 212.24, Georgia",13089021224,72125.7,
"Census Tract 212.25, Georgia",13089021225,90941.88,
"Census Tract 212.26, Georgia",13089021226,111659.13,
"Census Tract 212.27, Georgia",13089021227,132318.74,
"Census Tract 212.28, Georgia",13089021228,284163.52,
"Census Tract 212.29, Georgia",13089021229,222196.79,
"Census Tract 212.30, Georgia",13089021230,137682.25,
"Census Tract 213.01, Georgia",13089021301,74563.53,
"Census Tract 213.05, Georgia",13089021305,87846.02,
"Census Tract 213.06, Georgia",13089021306,62479.79,
"Census Tract 213.07, Georgia",13089021307,78405.05,
"Census Tract 213.08, Georgia",13089021308,88766.74,
"Census Tract 213.09, Georgia",13089021309,56785.99,
"Census Tract 213.10, Georgia",13089021310,57922.7,
"Census Tract 214.05, Georgia",13089021405,172708.92,
"Census Tract 214.09, Georgia",13089021409,84300.26,
"Census Tract 214.10, Georgia",13089021410,87648.54,
"Census Tract 214.11, Georgia",13089021411,164440.6,
"Census Tract 214.12, Georgia",13089021412,182406.89,
"Census Tract 214.15, Georgia",13089021415,169472.1,
"Census Tract 214.16, Georgia",13089021416,161421.56,
"Census Tract 214.17, Georgia",13089021417,82012.6,
"Census Tract 214.18, Georgia",13089021418,67225.63,
"Census Tract 214.19, Georgia",13089021419,102430.06,
"Census Tract 214.20, Georgia",13089021420,76628.5,
"Census Tract 214.21, Georgia",13089021421,101973.86,
"Census Tract 215.02, Georgia",13089021502,116881.69,
"Census Tract 215.03, Georgia",13089021503,106557.08,
"Census Tract 215.05, Georgia",13089021505,132440.09,
"Census Tract 215.06, Georgia",13089021506,126483.36,
"Census Tract 216.02, Georgia",13089021602,140542.97,
"Census Tract 216.04, Georgia",13089021604,221390.66,
"Census Tract 216.06, Georgia",13089021606,101993.77,
"Census Tract 216.07, Georgia",13089021607,95668.35,
"Census Tract 216.08, Georgia",13089021608,86625.01,
"Census Tract 216.09, Georgia",13089021609,182301.28,
"Census Tract 217.03, Georgia",13089021703,208505.91,
"Census Tract 217.07, Georgia",13089021707,154999.3,
"Census Tract 217.08, Georgia",13089021708,97317.58,
"Census Tract 217.09, Georgia",13089021709,101748.35,
"Census Tract 217.10, Georgia",13089021710,169608.76,
"Census Tract 217.11, Georgia",13089021711,101005.54,
"Census Tract 217.12, Georgia",13089021712,69083,
"Census Tract 218.08, Georgia",13089021808,120404.82,
"Census Tract 218.12, Georgia",13089021812,113367.18,
"Census Tract 218.13, Georgia",13089021813,47847.84,
"Census Tract 218.15, Georgia",13089021815,47950.09,
"Census Tract 218.16, Georgia",13089021816,103397.51,
"Census Tract 218.17, Georgia",13089021817,126704.34,
"Census Tract 218.18, Georgia",13089021818,90641.43,
"Census Tract 218.19, Georgia",13089021819,123404.06,
"Census Tract 218.20, Georgia",13089021820,66082.12,
"Census Tract 218.21, Georgia",13089021821,130538.41,
"Census Tract 218.22, Georgia",13089021822,112838.93,
"Census Tract 218.23, Georgia",13089021823,101156.03,
"Census Tract 218.24, Georgia",13089021824,71374.86,
"Census Tract 219.06, Georgia",13089021906,60453.69,
"Census Tract 219.08, Georgia",13089021908,47543.45,
"Census Tract 219.10, Georgia",13089021910,64719.57,
"Census Tract 219.11, Georgia",13089021911,40667.66,
"Census Tract 219.12, Georgia",13089021912,195299.72,
"Census Tract 219.13, Georgia",13089021913,43343.5,
"Census Tract 219.14, Georgia",13089021914,52844.96,
"Census Tract 219.15, Georgia",13089021915,102814.49,
"Census Tract 219.16, Georgia",13089021916,58949.58,
"Census Tract 219.17, Georgia",13089021917,53347.83,
"Census Tract 22, Georgia",13059002200,85255.9,
"Census Tract 220.01, Georgia",13089022001,83307.46,
"Census Tract 220.05, Georgia",13089022005,56225.31,
"Census Tract 220.07, Georgia",13089022007,52255.35,
"Census Tract 220.10, Georgia",13089022010,82441.81,
"Census Tract 220.11, Georgia",13089022011,55675.84,
"Census Tract 220.12, Georgia",13089022012,54338.88,
"Census Tract 220.13, Georgia",13089022013,47579.56,
"Census Tract 220.14, Georgia",13089022014,45047.96,
"Census Tract 220.15, Georgia",13089022015,92280.45,
"Census Tract 220.16, Georgia",13089022016,72358.33,
"Census Tract 221, Georgia",13089022100,79625.56,
"Census Tract 222.03, Georgia",13089022203,97962.71,
"Census Tract 222.05, Georgia",13089022205,90063.21,
"Census Tract 222.06, Georgia",13089022206,98337.34,
"Census Tract 223.02, Georgia",13089022302,118777.13,
"Census Tract 223.03, Georgia",13089022303,106316.06,
"Census Tract 223.04, Georgia",13089022304,109002.75,
"Census Tract 224.01, Georgia",13089022401,168632.64,
"Census Tract 224.03, Georgia",13089022403,253255.26,
"Census Tract 224.04, Georgia",13089022404,60141.72,
"Census Tract 224.05, Georgia",13089022405,72851.53,
"Census Tract 225.01, Georgia",13089022501,116277.98,
"Census Tract 225.02, Georgia",13089022502,223303.13,
"Census Tract 226.01, Georgia",13089022601,120794.23,
"Census Tract 226.02, Georgia",13089022602,204764.34,
"Census Tract 227, Georgia",13089022700,186562.81,
"Census Tract 228, Georgia",13089022800,190285.39,
"Census Tract 229, Georgia",13089022900,110097.86,
"Census Tract 23, Georgia",13121002300,39802.05,
"Census Tract 230, Georgia",13089023000,130373.95,
"Census Tract 231.01, Georgia",13089023101,78727.44,
"Census Tract 231.02, Georgia",13089023102,83591.99,
"Census Tract 231.07, Georgia",13089023107,73618.81,
"Census Tract 231.08, Georgia",13089023108,49804.94,
"Census Tract 231.11, Georgia",13089023111,82670.03,
"Census Tract 231.12, Georgia",13089023112,43540.09,
"Census Tract 231.13, Georgia",13089023113,88108.59,
"Census Tract 231.14, Georgia",13089023114,60234.2,
"Census Tract 231.15, Georgia",13089023115,0,
"Census Tract 232.09, Georgia",13089023209,81311.65,
"Census Tract 232.11, Georgia",13089023211,91264.84,
"Census Tract 232.12, Georgia",13089023212,69345.03,
"Census Tract 232.13, Georgia",13089023213,77649.13,
"Census Tract 232.14, Georgia",13089023214,54368.9,
"Census Tract 232.15, Georgia",13089023215,50105.9,
"Census Tract 232.16, Georgia",13089023216,66139.33,
"Census Tract 232.17, Georgia",13089023217,85495.39,
"Census Tract 232.18, Georgia",13089023218,39844.11,
"Census Tract 232.19, Georgia",13089023219,66691.72,
"Census Tract 232.20, Georgia",13089023220,72235.97,
"Census Tract 232.21, Georgia",13089023221,69163.65,
"Census Tract 232.22, Georgia",13089023222,46606.05,
"Census Tract 233.11, Georgia",13089023311,93953.55,
"Census Tract 233.13, Georgia",13089023313,74835.88,
"Census Tract 233.15, Georgia",13089023315,93380.99,
"Census Tract 233.17, Georgia",13089023317,42622.45,
"Census Tract 233.18, Georgia",13089023318,101468.74,
"Census Tract 233.19, Georgia",13089023319,61936.47,
"Census Tract 233.20, Georgia",13089023320,53883.04,
"Census Tract 233.21, Georgia",13089023321,67721.36,
"Census Tract 233.22, Georgia",13089023322,93533.06,
"Census Tract 233.23, Georgia",13089023323,109176.42,
"Census Tract 233.24, Georgia",13089023324,93512.9,
"Census Tract 233.25, Georgia",13089023325,96646.29,
"Census Tract 233.26, Georgia",13089023326,78449.99,
"Census Tract 233.27, Georgia",13089023327,61347.15,
"Census Tract 233.28, Georgia",13089023328,58852.95,
"Census Tract 233.29, Georgia",13089023329,76759.49,
"Census Tract 233.30, Georgia",13089023330,100880.48,
"Census Tract 233.31, Georgia",13089023331,50644.03,
"Census Tract 233.32, Georgia",13089023332,66980.44,
"Census Tract 234.10, Georgia",13089023410,53724.43,
"Census Tract 234.11, Georgia",13089023411,76133.42,
"Census Tract 234.13, Georgia",13089023413,87480.07,
"Census Tract 234.22, Georgia",13089023422,70133.4,
"Census Tract 234.24, Georgia",13089023424,81040.47,
"Census Tract 234.25, Georgia",13089023425,83207.12,
"Census Tract 234.26, Georgia",13089023426,88318.28,
"Census Tract 234.27, Georgia",13089023427,86962.13,
"Census Tract 234.29, Georgia",13089023429,59127.06,
"Census Tract 234.30, Georgia",13089023430,46155.22,
"Census Tract 234.31, Georgia",13089023431,52933.25,
"Census Tract 234.32, Georgia",13089023432,68901.93,
"Census Tract 234.33, Georgia",13089023433,83561.48,
"Census Tract 234.34, Georgia",13089023434,82507.91,
"Census Tract 234.35, Georgia",13089023435,63074.71,
"Census Tract 234.36, Georgia",13089023436,69892.66,
"Census Tract 234.37, Georgia",13089023437,89782.96,
"Census Tract 234.38, Georgia",13089023438,64282.99,
"Census Tract 234.39, Georgia",13089023439,52491.92,
"Census Tract 234.40, Georgia",13089023440,74378.95,
"Census Tract 234.41, Georgia",13089023441,78757.45,
"Census Tract 234.42, Georgia",13089023442,94698.28,
"Census Tract 234.43, Georgia",13089023443,82263.41,
"Census Tract 234.44, Georgia",13089023444,108835.69,
"Census Tract 234.45, Georgia",13089023445,66048.87,
"Census Tract 234.46, Georgia",13089023446,42604.07,
"Census Tract 234.47, Georgia",13089023447,72189.88,
"Census Tract 234.48, Georgia",13089023448,92335.32,
"Census Tract 235.01, Georgia",13089023501,53840.8,
"Census Tract 235.04, Georgia",13089023504,58532.92,
"Census Tract 235.05, Georgia",13089023505,74412.94,
"Census Tract 235.06, Georgia",13089023506,67321.01,
"Census Tract 235.07, Georgia",13089023507,57172.48,
"Census Tract 236.01, Georgia",13089023601,89923.48,
"Census Tract 236.02, Georgia",13089023602,81008.7,
"Census Tract 236.03, Georgia",13089023603,51161.18,
"Census Tract 237.01, Georgia",13089023701,89642.4,
"Census Tract 237.02, Georgia",13089023702,57553.55,
"Census Tract 238.01, Georgia",13089023801,118446.29,
"Census Tract 238.02, Georgia",13089023802,82353.19,
"Census Tract 238.03, Georgia",13089023803,91799.54,
"Census Tract 24, Georgia",13121002400,56964.86,
"Census Tract 25, Georgia",13121002500,41987.52,
"Census Tract 26, Georgia",13121002600,50344.47,
"Census Tract 28.01, Georgia",13121002801,73983.04,
"Census Tract 28.02, Georgia",13121002802,47630.28,
"Census Tract 29, Georgia",13121002900,113517.86,
"Census Tract 3, Alabama",01111000300,68665.73,
"Census Tract 30, Georgia",13121003000,175202.28,
"Census Tract 301.01, Georgia",13219030101,120931.25,
"Census Tract 301.01, Georgia",13059030101,24259.05,
"Census Tract 301.02, Georgia",13219030102,110614.98,
"Census Tract 301.02, Georgia",13059030102,41482.86,
"Census Tract 301.03, Georgia",13219030103,107544.1,
"Census Tract 301.04, Georgia",13219030104,126164.54,
"Census Tract 301.04, Georgia",13067030104,73203.41,
"Census Tract 301.07, Georgia",13067030107,107372.73,
"Census Tract 301.08, Georgia",13067030108,113256.27,
"Census Tract 301.09, Georgia",13067030109,85454.72,
"Census Tract 301.10, Georgia",13067030110,100081.91,
"Census Tract 301.11, Georgia",13067030111,102921.46,
"Census Tract 301.12, Georgia",13067030112,59765.29,
"Census Tract 301.13, Georgia",13067030113,78443.14,
"Census Tract 302, Georgia",13059030200,37892.75,
"Census Tract 302.01, Georgia",13219030201,163870.47,
"Census Tract 302.02, Georgia",13219030202,103161.71,
"Census Tract 302.20, Georgia",13067030220,99087.12,
"Census Tract 302.33, Georgia",13067030233,128787.15,
"Census Tract 302.35, Georgia",13067030235,131206.39,
"Census Tract 302.36, Georgia",13067030236,171795.11,
"Census Tract 302.40, Georgia",13067030240,116068.02,
"Census Tract 302.41, Georgia",13067030241,121264.79,
"Census Tract 302.42, Georgia",13067030242,111735.13,
"Census Tract 302.43, Georgia",13067030243,104029.43,
"Census Tract 302.44, Georgia",13067030244,160427.3,
"Census Tract 302.45, Georgia",13067030245,129083.22,
"Census Tract 302.46, Georgia",13067030246,52323.47,
"Census Tract 302.47, Georgia",13067030247,60340.72,
"Census Tract 302.48, Georgia",13067030248,73701.6,
"Census Tract 302.49, Georgia",13067030249,97819.7,
"Census Tract 302.50, Georgia",13067030250,148663.68,
"Census Tract 302.51, Georgia",13067030251,134442.12,
"Census Tract 302.52, Georgia",13067030252,165355.11,
"Census Tract 302.53, Georgia",13067030253,149628.21,
"Census Tract 302.54, Georgia",13067030254,101800.63,
"Census Tract 302.55, Georgia",13067030255,73899.61,
"Census Tract 302.56, Georgia",13067030256,172716.82,
"Census Tract 302.57, Georgia",13067030257,95450.51,
"Census Tract 302.58, Georgia",13067030258,95227.15,
"Census Tract 302.59, Georgia",13067030259,99408.73,
"Census Tract 302.60, Georgia",13067030260,79005.97,
"Census Tract 302.61, Georgia",13067030261,136903.7,
"Census Tract 302.62, Georgia",13067030262,137614.81,
"Census Tract 302.63, Georgia",13067030263,111755.47,
"Census Tract 302.64, Georgia",13067030264,179371.89,
"Census Tract 302.65, Georgia",13067030265,162262.82,
"Census Tract 302.66, Georgia",13067030266,149229.93,
"Census Tract 302.67, Georgia",13067030267,161837.53,
"Census Tract 302.68, Georgia",13067030268,154690.99,
"Census Tract 302.69, Georgia",13067030269,116070,
"Census Tract 302.70, Georgia",13067030270,118379.97,
"Census Tract 302.71, Georgia",13067030271,143896.16,
"Census Tract 302.72, Georgia",13067030272,109228.41,
"Census Tract 302.73, Georgia",13067030273,143285.39,
"Census Tract 302.74, Georgia",13067030274,83195.74,
"Census Tract 302.75, Georgia",13067030275,86577.45,
"Census Tract 302.76, Georgia",13067030276,155943.86,
"Census Tract 302.77, Georgia",13067030277,135528.14,
"Census Tract 302.78, Georgia",13067030278,99582.08,
"Census Tract 303, Georgia",13219030300,127749.86,
"Census Tract 303.19, Georgia",13067030319,151821.41,
"Census Tract 303.22, Georgia",13067030322,124930.68,
"Census Tract 303.24, Georgia",13067030324,125333.6,
"Census Tract 303.26, Georgia",13067030326,169326.76,
"Census Tract 303.27, Georgia",13067030327,131516.77,
"Census Tract 303.29, Georgia",13067030329,127113.86,
"Census Tract 303.31, Georgia",13067030331,158075.98,
"Census Tract 303.32, Georgia",13067030332,138465.83,
"Census Tract 303.34, Georgia",13067030334,148393.48,
"Census Tract 303.35, Georgia",13067030335,177795.22,
"Census Tract 303.37, Georgia",13067030337,202579.17,
"Census Tract 303.40, Georgia",13067030340,176518.72,
"Census Tract 303.41, Georgia",13067030341,141690.92,
"Census Tract 303.42, Georgia",13067030342,167263.09,
"Census Tract 303.43, Georgia",13067030343,164207.59,
"Census Tract 303.44, Georgia",13067030344,60092.9,
"Census Tract 303.45, Georgia",13067030345,98515.25,
"Census Tract 303.46, Georgia",13067030346,88504.11,
"Census Tract 303.47, Georgia",13067030347,102878.49,
"Census Tract 303.48, Georgia",13067030348,104306.28,
"Census Tract 303.49, Georgia",13067030349,99670.1,
"Census Tract 303.50, Georgia",13067030350,96448.33,
"Census Tract 303.51, Georgia",13067030351,191889.55,
"Census Tract 303.52, Georgia",13067030352,194121.67,
"Census Tract 303.53, Georgia",13067030353,118837.86,
"Census Tract 303.54, Georgia",13067030354,172348.4,
"Census Tract 303.55, Georgia",13067030355,80857.03,
"Census Tract 303.56, Georgia",13067030356,106564.19,
"Census Tract 303.57, Georgia",13067030357,168024.23,
"Census Tract 303.58, Georgia",13067030358,129812.43,
"Census Tract 303.59, Georgia",13067030359,157996.92,
"Census Tract 303.60, Georgia",13067030360,174256.66,
"Census Tract 303.61, Georgia",13067030361,104018.99,
"Census Tract 303.62, Georgia",13067030362,111618.42,
"Census Tract 303.63, Georgia",13067030363,99306.78,
"Census Tract 303.64, Georgia",13067030364,104619.74,
"Census Tract 303.65, Georgia",13067030365,162827.91,
"Census Tract 303.66, Georgia",13067030366,188486.73,
"Census Tract 303.67, Georgia",13067030367,177233.05,
"Census Tract 303.68, Georgia",13067030368,148142.52,
"Census Tract 303.69, Georgia",13067030369,204662.23,
"Census Tract 303.70, Georgia",13067030370,203685.3,
"Census Tract 304.01, Georgia",13219030401,103722.25,
"Census Tract 304.02, Georgia",13219030402,100882.14,
"Census Tract 304.05, Georgia",13067030405,66593.38,
"Census Tract 304.07, Georgia",13067030407,118759.04,
"Census Tract 304.08, Georgia",13067030408,114263.02,
"Census Tract 304.09, Georgia",13067030409,155508.61,
"Census Tract 304.10, Georgia",13067030410,91749.65,
"Census Tract 304.11, Georgia",13067030411,60370.02,
"Census Tract 304.12, Georgia",13067030412,53678.09,
"Census Tract 304.13, Georgia",13067030413,61150.99,
"Census Tract 304.14, Georgia",13067030414,52390.84,
"Census Tract 305, Georgia",13219030500,113465.19,
"Census Tract 305.05, Georgia",13067030505,70077.69,
"Census Tract 305.06, Georgia",13067030506,79778.28,
"Census Tract 305.07, Georgia",13067030507,115208.58,
"Census Tract 305.08, Georgia",13067030508,97915.67,
"Census Tract 305.09, Georgia",13067030509,148000.64,
"Census Tract 305.10, Georgia",13067030510,150278.38,
"Census Tract 305.11, Georgia",13067030511,95224.94,
"Census Tract 306, Georgia",13219030600,126567.79,
"Census Tract 306.02, Georgia",13067030602,138742.51,
"Census Tract 306.03, Georgia",13067030603,99659.5,
"Census Tract 306.04, Georgia",13067030604,82816.53,
"Census Tract 307, Georgia",13067030700,81862.87,
"Census Tract 308, Georgia",13067030800,94387.82,
"Census Tract 309.06, Georgia",13067030906,104624.53,
"Census Tract 309.07, Georgia",13067030907,124686.16,
"Census Tract 309.08, Georgia",13067030908,74198.66,
"Census Tract 309.09, Georgia",13067030909,85595.64,
"Census Tract 309.10, Georgia",13067030910,60800.89,
"Census Tract 309.11, Georgia",13067030911,62817.15,
"Census Tract 309.12, Georgia",13067030912,101824.73,
"Census Tract 31, Georgia",13121003100,127118.75,
"Census Tract 310.01, Georgia",13067031001,59409.48,
"Census Tract 310.04, Georgia",13067031004,59598.04,
"Census Tract 310.05, Georgia",13067031005,85525.68,
"Census Tract 310.06, Georgia",13067031006,64954.06,
"Census Tract 310.07, Georgia",13067031007,54578.38,
"Census Tract 311.01, Georgia",13067031101,95624.23,
"Census Tract 311.10, Georgia",13067031110,108588.46,
"Census Tract 311.11, Georgia",13067031111,107488.23,
"Census Tract 311.12, Georgia",13067031112,144909.25,
"Census Tract 311.13, Georgia",13067031113,77828.04,
"Census Tract 311.14, Georgia",13067031114,66558.84,
"Census Tract 311.15, Georgia",13067031115,99671.08,
"Census Tract 311.16, Georgia",13067031116,78305.51,
"Census Tract 311.17, Georgia",13067031117,129689.33,
"Census Tract 311.18, Georgia",13067031118,111020.93,
"Census Tract 311.19, Georgia",13067031119,72956.63,
"Census Tract 311.20, Georgia",13067031120,120580.78,
"Census Tract 311.21, Georgia",13067031121,74807.73,
"Census Tract 311.22, Georgia",13067031122,96450.29,
"Census Tract 312.07, Georgia",13067031207,109542.43,
"Census Tract 312.09, Georgia",13067031209,186278.07,
"Census Tract 312.12, Georgia",13067031212,225529.08,
"Census Tract 312.13, Georgia",13067031213,131294.49,
"Census Tract 312.14, Georgia",13067031214,117804.47,
"Census Tract 312.15, Georgia",13067031215,134819.02,
"Census Tract 312.16, Georgia",13067031216,127861.7,
"Census Tract 312.17, Georgia",13067031217,89187.32,
"Census Tract 312.18, Georgia",13067031218,115348.04,
"Census Tract 312.19, Georgia",13067031219,106375.65,
"Census Tract 312.20, Georgia",13067031220,108841.67,
"Census Tract 312.21, Georgia",13067031221,125271.69,
"Census Tract 313.06, Georgia",13067031306,90298.57,
"Census Tract 313.08, Georgia",13067031308,76070.48,
"Census Tract 313.14, Georgia",13067031314,132887.22,
"Census Tract 313.15, Georgia",13067031315,170591.4,
"Census Tract 313.16, Georgia",13067031316,133943.65,
"Census Tract 313.17, Georgia",13067031317,95932.56,
"Census Tract 313.18, Georgia",13067031318,59223.51,
"Census Tract 313.19, Georgia",13067031319,56185.82,
"Census Tract 313.20, Georgia",13067031320,67605.74,
"Census Tract 313.21, Georgia",13067031321,52034.02,
"Census Tract 313.22, Georgia",13067031322,66044.96,
"Census Tract 313.23, Georgia",13067031323,94750.12,
"Census Tract 313.24, Georgia",13067031324,97330.64,
"Census Tract 313.25, Georgia",13067031325,120133.82,
"Census Tract 314.09, Georgia",13067031409,67099.19,
"Census Tract 314.10, Georgia",13067031410,98947.43,
"Census Tract 314.11, Georgia",13067031411,67339.01,
"Census Tract 314.12, Georgia",13067031412,51538.25,
"Census Tract 314.13, Georgia",13067031413,58285.64,
"Census Tract 314.14, Georgia",13067031414,120730.3,
"Census Tract 314.15, Georgia",13067031415,61975.55,
"Census Tract 314.16, Georgia",13067031416,79693.95,
"Census Tract 314.17, Georgia",13067031417,66055.25,
"Census Tract 315.06, Georgia",13067031506,82436.2,
"Census Tract 315.07, Georgia",13067031507,92429.17,
"Census Tract 315.10, Georgia",13067031510,85822.24,
"Census Tract 315.11, Georgia",13067031511,99847.09,
"Census Tract 315.12, Georgia",13067031512,82827.44,
"Census Tract 315.13, Georgia",13067031513,94194.78,
"Census Tract 315.14, Georgia",13067031514,112237.32,
"Census Tract 315.15, Georgia",13067031515,106949.92,
"Census Tract 315.16, Georgia",13067031516,107338.92,
"Census Tract 315.17, Georgia",13067031517,106104.13,
"Census Tract 315.18, Georgia",13067031518,68634.13,
"Census Tract 32, Georgia",13121003200,142288.19,
"Census Tract 35, Georgia",13121003500,76781.42,
"Census Tract 36, Georgia",13121003600,72282.11,
"Census Tract 37, Georgia",13121003700,25010.7,
"Census Tract 38, Georgia",13121003800,32905.68,
"Census Tract 39, Georgia",13121003900,52781.12,
"Census Tract 4, Georgia",13121000400,169572.47,
"Census Tract 4.01, Georgia",13059000401,36918.67,
"Census Tract 4.02, Georgia",13059000402,19283.39,
"Census Tract 40, Georgia",13121004000,57518.41,
"Census Tract 402.02, Georgia",13063040202,46549.96,
"Census Tract 402.03, Georgia",13063040203,60124.43,
"Census Tract 402.04, Georgia",13063040204,60519.6,
"Census Tract 403.02, Georgia",13063040302,47507.45,
"Census Tract 403.06, Georgia",13063040306,45113.14,
"Census Tract 403.07, Georgia",13063040307,54663.93,
"Census Tract 403.08, Georgia",13063040308,35637.36,
"Census Tract 403.09, Georgia",13063040309,38962.3,
"Census Tract 403.10, Georgia",13063040310,46616.28,
"Census Tract 404.07, Georgia",13063040407,67284.82,
"Census Tract 404.09, Georgia",13063040409,75726.17,
"Census Tract 404.10, Georgia",13063040410,70387.16,
"Census Tract 404.14, Georgia",13063040414,55469.54,
"Census Tract 404.16, Georgia",13063040416,63786.3,
"Census Tract 404.17, Georgia",13063040417,46274.09,
"Census Tract 404.18, Georgia",13063040418,92197.46,
"Census Tract 404.19, Georgia",13063040419,59276.48,
"Census Tract 404.20, Georgia",13063040420,70569.48,
"Census Tract 404.21, Georgia",13063040421,76380.94,
"Census Tract 404.22, Georgia",13063040422,46315.98,
"Census Tract 404.23, Georgia",13063040423,57356.8,
"Census Tract 404.24, Georgia",13063040424,66414.6,
"Census Tract 404.25, Georgia",13063040425,44430.27,
"Census Tract 404.26, Georgia",13063040426,80853.78,
"Census Tract 404.27, Georgia",13063040427,70753.36,
"Census Tract 405.09, Georgia",13063040509,73022.12,
"Census Tract 405.10, Georgia",13063040510,74428.65,
"Census Tract 405.12, Georgia",13063040512,58621.16,
"Census Tract 405.13, Georgia",13063040513,63735.97,
"Census Tract 405.18, Georgia",13063040518,50758.25,
"Census Tract 405.19, Georgia",13063040519,35655.93,
"Census Tract 405.21, Georgia",13063040521,65973.19,
"Census Tract 405.22, Georgia",13063040522,57877.03,
"Census Tract 405.23, Georgia",13063040523,50493.17,
"Census Tract 405.25, Georgia",13063040525,68158.16,
"Census Tract 405.27, Georgia",13063040527,61611.36,
"Census Tract 405.28, Georgia",13063040528,45451.65,
"Census Tract 405.29, Georgia",13063040529,51322.58,
"Census Tract 405.30, Georgia",13063040530,59609.47,
"Census Tract 405.31, Georgia",13063040531,41708.41,
"Census Tract 405.32, Georgia",13063040532,53330.51,
"Census Tract 405.33, Georgia",13063040533,59464.04,
"Census Tract 405.34, Georgia",13063040534,61182.03,
"Census Tract 405.35, Georgia",13063040535,83494.11,
"Census Tract 405.36, Georgia",13063040536,61830.17,
"Census Tract 405.37, Georgia",13063040537,72604.17,
"Census Tract 405.38, Georgia",13063040538,64947.4,
"Census Tract 406.06, Georgia",13063040606,62879.23,
"Census Tract 406.09, Georgia",13063040609,84363.45,
"Census Tract 406.14, Georgia",13063040614,127615.44,
"Census Tract 406.15, Georgia",13063040615,95400.23,
"Census Tract 406.17, Georgia",13063040617,45171.66,
"Census Tract 406.23, Georgia",13063040623,54035.58,
"Census Tract 406.24, Georgia",13063040624,65826.71,
"Census Tract 406.25, Georgia",13063040625,72336.17,
"Census Tract 406.26, Georgia",13063040626,72724.12,
"Census Tract 406.27, Georgia",13063040627,71422.54,
"Census Tract 406.28, Georgia",13063040628,105391.9,
"Census Tract 406.29, Georgia",13063040629,54464.93,
"Census Tract 406.30, Georgia",13063040630,50100.27,
"Census Tract 406.31, Georgia",13063040631,88717.86,
"Census Tract 406.32, Georgia",13063040632,53833.85,
"Census Tract 406.33, Georgia",13063040633,58909.44,
"Census Tract 406.34, Georgia",13063040634,32977.17,
"Census Tract 406.35, Georgia",13063040635,92143.66,
"Census Tract 406.36, Georgia",13063040636,96628.47,
"Census Tract 406.37, Georgia",13063040637,63400.31,
"Census Tract 406.38, Georgia",13063040638,98070.3,
"Census Tract 406.39, Georgia",13063040639,89946.27,
"Census Tract 41, Georgia",13121004100,94157.69,
"Census Tract 42, Georgia",13121004200,44674.62,
"Census Tract 43, Georgia",13121004300,78559.65,
"Census Tract 44, Georgia",13121004400,27660.92,
"Census Tract 48, Georgia",13121004800,29216.96,
"Census Tract 49, Georgia",13121004900,125301.45,
"Census Tract 5.01, Georgia",13121000501,111418.93,
"Census Tract 5.02, Georgia",13121000502,160856.44,
"Census Tract 50, Georgia",13121005000,121904.95,
"Census Tract 501.05, Georgia",13135050105,68752.66,
"Census Tract 501.10, Georgia",13135050110,107163.71,
"Census Tract 501.11, Georgia",13135050111,62226.16,
"Census Tract 501.12, Georgia",13135050112,87896.41,
"Census Tract 501.13, Georgia",13135050113,86188.93,
"Census Tract 501.14, Georgia",13135050114,107215.86,
"Census Tract 501.15, Georgia",13135050115,93931.04,
"Census Tract 501.16, Georgia",13135050116,160325.56,
"Census Tract 501.17, Georgia",13135050117,117412.35,
"Census Tract 501.18, Georgia",13135050118,90851.78,
"Census Tract 501.19, Georgia",13135050119,101044.38,
"Census Tract 501.20, Georgia",13135050120,116077.01,
"Census Tract 501.21, Georgia",13135050121,105812.68,
"Census Tract 502.05, Georgia",13135050205,71869.78,
"Census Tract 502.15, Georgia",13135050215,67128.08,
"Census Tract 502.18, Georgia",13135050218,86298.51,
"Census Tract 502.19, Georgia",13135050219,85148.71,
"Census Tract 502.21, Georgia",13135050221,68451.64,
"Census Tract 502.22, Georgia",13135050222,73160.76,
"Census Tract 502.23, Georgia",13135050223,84805.64,
"Census Tract 502.24, Georgia",13135050224,122495.32,
"Census Tract 502.25, Georgia",13135050225,80592.64,
"Census Tract 502.26, Georgia",13135050226,83283.18,
"Census Tract 502.27, Georgia",13135050227,123969.25,
"Census Tract 502.28, Georgia",13135050228,57679.51,
"Census Tract 502.29, Georgia",13135050229,47771.64,
"Census Tract 502.30, Georgia",13135050230,73931.77,
"Census Tract 502.31, Georgia",13135050231,103282.13,
"Census Tract 502.32, Georgia",13135050232,117299.13,
"Census Tract 502.33, Georgia",13135050233,92927.16,
"Census Tract 502.34, Georgia",13135050234,135385.69,
"Census Tract 502.35, Georgia",13135050235,107614.46,
"Census Tract 502.36, Georgia",13135050236,99518.49,
"Census Tract 502.37, Georgia",13135050237,128264.08,
"Census Tract 502.38, Georgia",13135050238,116723.04,
"Census Tract 502.39, Georgia",13135050239,142187.18,
"Census Tract 502.40, Georgia",13135050240,145952.54,
"Census Tract 502.41, Georgia",13135050241,109827.73,
