Geography,FIPS,Estimate (Total consumer expenditures per household ),MoE (Total consumer expenditures per household )
"Census Tract 105.18, Georgia",13121010518,64037,
"Census Tract 105.19, Georgia",13121010519,70229.93,
"Census Tract 105.20, Georgia",13121010520,86921.85,
"Census Tract 105.21, Georgia",13121010521,48263.91,
"Census Tract 105.22, Georgia",13121010522,70515.68,
"Census Tract 105.23, Georgia",13121010523,52308.57,
"Census Tract 105.24, Georgia",13121010524,52384.31,
"Census Tract 105.25, Georgia",13121010525,49428.07,
"Census Tract 105.26, Georgia",13121010526,80991.19,
"Census Tract 105.27, Georgia",13121010527,57669.95,
"Census Tract 105.28, Georgia",13121010528,48083.36,
"Census Tract 105.29, Georgia",13121010529,71296.59,
"Census Tract 105.30, Georgia",13121010530,72360.63,
"Census Tract 105.31, Georgia",13121010531,72520.24,
"Census Tract 105.32, Georgia",13121010532,51500.46,
"Census Tract 105.33, Georgia",13121010533,56268.57,
"Census Tract 105.34, Georgia",13121010534,60001.74,
"Census Tract 105.35, Georgia",13121010535,77971.43,
"Census Tract 105.36, Georgia",13121010536,76524.93,
"Census Tract 105.37, Georgia",13121010537,76922.34,
"Census Tract 105.38, Georgia",13121010538,94524.64,
"Census Tract 105.39, Georgia",13121010539,64859.06,
"Census Tract 105.40, Georgia",13121010540,91526.79,
"Census Tract 106, Georgia",13233010600,62723.84,
"Census Tract 106.01, Georgia",13121010601,66867.53,
"Census Tract 106.01, Georgia",13157010601,76913.71,
"Census Tract 106.02, Georgia",13157010602,86229.34,
"Census Tract 106.03, Georgia",13121010603,67790.73,
"Census Tract 106.04, Georgia",13121010604,48324.39,
"Census Tract 107, Georgia",13233010700,55202.82,
"Census Tract 107.01, Georgia",13157010701,67270.7,
"Census Tract 107.03, Georgia",13157010703,85497.72,
"Census Tract 107.04, Georgia",13157010704,108140.12,
"Census Tract 107.05, Georgia",13157010705,86869.99,
"Census Tract 107.06, Georgia",13157010706,96513.14,
"Census Tract 108.01, Georgia",13121010801,62640.31,
"Census Tract 108.02, Georgia",13121010802,76538.24,
"Census Tract 11.01, Georgia",13121001101,140382.1,
"Census Tract 11.02, Georgia",13121001102,164863.31,
"Census Tract 110, Georgia",13121011000,44901.54,
"Census Tract 1101.01, Georgia",13297110101,116697.57,
"Census Tract 1101.02, Georgia",13297110102,88500.98,
"Census Tract 1102, Georgia",13297110200,79869.54,
"Census Tract 1103.01, Georgia",13297110301,47990.16,
"Census Tract 1103.02, Georgia",13297110302,53901.64,
"Census Tract 1104, Georgia",13297110400,53384.9,
"Census Tract 1105.03, Georgia",13297110503,95708.99,
"Census Tract 1105.04, Georgia",13297110504,88798.26,
"Census Tract 1105.05, Georgia",13297110505,105032.33,
"Census Tract 1105.06, Georgia",13297110506,98906.87,
"Census Tract 1105.08, Georgia",13297110508,95631.44,
"Census Tract 1105.09, Georgia",13297110509,106069.99,
"Census Tract 1105.10, Georgia",13297110510,108376.15,
"Census Tract 1106.01, Georgia",13297110601,94364.55,
"Census Tract 1106.02, Georgia",13297110602,106660.73,
"Census Tract 1106.03, Georgia",13297110603,81595.7,
"Census Tract 1107.01, Georgia",13297110701,94657.54,
"Census Tract 1107.02, Georgia",13297110702,54843.23,
"Census Tract 1108.01, Georgia",13297110801,89826.05,
"Census Tract 1108.02, Georgia",13297110802,75638.09,
"Census Tract 111, Georgia",13121011100,79994.85,
"Census Tract 112.02, Georgia",13121011202,57467.7,
"Census Tract 112.03, Georgia",13121011203,54351.06,
"Census Tract 112.04, Georgia",13121011204,48223.46,
"Census Tract 113.01, Georgia",13121011301,79102.08,
"Census Tract 113.06, Georgia",13121011306,50496.18,
"Census Tract 113.07, Georgia",13121011307,51915.66,
"Census Tract 113.08, Georgia",13121011308,46550.99,
"Census Tract 113.09, Georgia",13121011309,72579.61,
"Census Tract 113.10, Georgia",13121011310,53810.92,
"Census Tract 114.16, Georgia",13121011416,145066.42,
"Census Tract 114.17, Georgia",13121011417,114722.55,
"Census Tract 114.19, Georgia",13121011419,164941.23,
"Census Tract 114.21, Georgia",13121011421,85509.84,
"Census Tract 114.22, Georgia",13121011422,122285.97,
"Census Tract 114.23, Georgia",13121011423,158809.92,
"Census Tract 114.24, Georgia",13121011424,142742.79,
"Census Tract 114.26, Georgia",13121011426,161591.44,
